"date","close","volume","open","high","low"
"2014/07/07","188.0400","2958707.0000","187.6100","188.2700","187.4400"
"2014/07/03","188.5300","2422363.0000","188.3900","188.8060","187.3500"
"2014/07/02","188.3900","5092954.0000","186.3400","188.9900","186.1700"
"2014/07/01","186.3500","6643078.0000","181.7000","187.2700","181.7000"
"2014/06/30","181.2700","4223820.0000","181.3300","181.9300","180.2600"
"2014/06/27","181.7100","4575380.0000","179.7700","182.4600","179.6600"
"2014/06/26","180.3700","3258470.0000","180.8700","181.3700","179.2700"
"2014/06/25","180.7200","2762820.0000","180.2500","180.9700","180.0600"
"2014/06/24","180.8800","3875358.0000","181.5000","183.0000","180.6500"
"2014/06/23","182.1400","3231689.0000","181.9200","182.2500","181.0000"
"2014/06/20","181.5500","10686760.0000","182.5900","182.6700","181.4000"
"2014/06/19","182.8200","3551005.0000","184.1200","184.4700","182.3560"
"2014/06/18","183.6000","3925158.0000","182.0400","183.6100","181.7900"
"2014/06/17","182.2600","2445357.0000","181.9000","182.8100","181.5600"
"2014/06/16","182.3500","3538718.0000","182.4000","182.7100","181.2350"
"2014/06/13","182.5600","2773423.0000","182.0000","183.0000","181.5200"
"2014/06/12","181.2200","4425086.0000","182.4800","182.5500","180.9100"
"2014/06/11","182.2500","4061486.0000","183.6100","184.2000","182.0100"
